OBJECTID,MONTH_YEAR,MEN_BEDS,WOMEN_BEDS,FAMILY_ROOMS,YOUTH_BEDS,EMERGENCY_HOTEL_OVERFLOW_ROOMS,TOTAL_BEDS,TOTAL_ROOMS
1,2020/01/31 05:00:00+00,220,46,20,21,0,287,20
2,2020/02/28 05:00:00+00,193,46,20,21,0,260,20
3,2020/03/31 05:00:00+00,219,46,20,21,0,286,20
4,2020/04/30 05:00:00+00,150,46,20,21,67,217,87
5,2020/05/31 05:00:00+00,127,46,20,21,43,194,63
6,2020/06/30 05:00:00+00,127,46,20,21,43,194,63
7,2020/07/31 05:00:00+00,127,46,20,21,47,194,67
8,2020/08/31 05:00:00+00,127,38,20,21,62,186,82
9,2020/09/30 05:00:00+00,115,38,20,21,127,174,147
10,2020/10/31 05:00:00+00,142,26,20,13,132,181,152
11,2020/11/30 05:00:00+00,186,26,20,13,129,225,149
12,2020/12/31 05:00:00+00,186,26,20,13,123,225,143
13,2021/01/31 05:00:00+00,196,26,20,13,157,235,177
14,2021/02/28 05:00:00+00,223,26,20,13,158,262,178
15,2021/03/31 05:00:00+00,223,26,20,13,178,262,198
16,2021/04/30 05:00:00+00,223,26,20,13,179,262,199
17,2021/05/31 05:00:00+00,223,26,20,13,158,262,178
18,2021/06/30 05:00:00+00,223,26,20,13,163,262,183
19,2021/07/31 05:00:00+00,209,26,20,13,149,248,169
20,2021/08/31 05:00:00+00,210,26,20,13,157,249,177
21,2021/09/30 05:00:00+00,218,26,20,13,165,257,185
22,2021/10/31 05:00:00+00,219,41,20,13,198,273,218
23,2021/11/30 05:00:00+00,238,41,20,13,215,292,235
24,2021/12/31 05:00:00+00,239,41,20,13,198,293,218
25,2022/01/31 05:00:00+00,245,41,20,21,248,307,268
26,2022/02/28 05:00:00+00,212,41,20,21,261,274,281
27,2022/03/31 05:00:00+00,212,96,20,21,190,329,210
28,2022/04/30 05:00:00+00,154,104,20,21,181,279,201
29,2022/05/31 05:00:00+00,154,104,20,21,200,279,220
30,2022/06/30 05:00:00+00,193,104,20,21,138,318,158
31,2022/07/31 05:00:00+00,193,104,20,21,137,318,157
32,2022/08/30 05:00:00+00,212,104,20,21,135,337,155
33,2022/09/30 05:00:00+00,212,104,20,21,104,337,124
34,2022/10/31 05:00:00+00,212,104,20,21,80,337,100
35,2022/11/30 05:00:00+00,201,107,20,21,80,329,100
36,2022/12/31 05:00:00+00,198,109,20,21,42,328,62
37,2023/01/31 05:00:00+00,198,109,20,21,42,328,62
38,2023/02/28 05:00:00+00,198,109,20,21,42,328,62
39,2023/03/31 05:00:00+00,198,81,20,21,42,300,62
40,2023/04/30 05:00:00+00,198,65,20,21,52,284,72
41,2023/05/31 05:00:00+00,198,46,20,21,52,265,72
42,2023/06/30 05:00:00+00,198,66,20,21,52,285,72
43,2023/07/31 05:00:00+00,198,66,20,21,52,285,72
44,2023/08/31 05:00:00+00,198,66,20,21,52,285,72
45,2023/09/30 05:00:00+00,198,66,20,21,52,285,72
46,2023/10/31 05:00:00+00,198,66,20,21,52,285,72
47,2023/11/30 05:00:00+00,198,66,20,21,52,285,72
48,2023/12/31 05:00:00+00,243,66,20,21,52,320,72
49,2024/01/31 05:00:00+00,243,66,20,21,52,320,72
